P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
3.96,3.11,19.79,7.18,3.27
3.02,3.27,18.48,4.04,3.75
3.31,3.18,12.65,5.73,3.17
3.13,6.32,12.64,4.67,3.07
3.91,3.32,11.88,5.47,3.72
3.73,3.28,16.80,6.70,2.21
2.75,3.16,11.01,4.34,3.39
4.47,2.65,18.90,4.38,3.39
3.00,2.60,10.15,4.51,3.22
2.65,4.18,11.75,5.17,6.36
3.07,2.96,17.25,4.72,2.83
2.96,3.15,27.58,5.73,2.18
3.00,3.20,24.95,5.00,2.91
2.32,2.55,18.66,5.63,4.61
3.10,3.67,12.92,5.34,2.63
2.55,2.59,11.12,6.63,2.82
3.36,4.98,11.49,15.46,2.85
3.12,4.73,12.31,4.80,3.87
3.01,5.30,10.37,5.35,2.53
3.11,3.15,11.46,5.35,3.62
2.95,4.13,12.57,4.59,2.37
3.52,4.67,10.86,5.92,3.75
3.52,3.11,12.99,5.20,3.07
5.98,3.38,9.94,5.22,5.35
7.00,7.74,11.25,9.51,4.01
4.75,3.37,11.74,4.76,2.48
2.79,6.11,11.52,4.68,2.63
3.89,3.31,11.17,4.70,2.67
3.34,3.07,16.25,6.39,3.56
3.89,3.36,13.40,5.61,4.56
8.97,4.85,12.49,6.11,3.47
4.08,2.66,11.44,4.07,3.96
27.67,2.75,10.41,13.75,2.99
3.35,3.79,13.79,4.86,3.46
3.08,4.33,12.06,5.88,3.54
2.46,2.83,11.66,6.15,3.48
3.51,3.83,27.40,4.98,2.89
2.66,3.46,13.34,5.24,3.86
4.37,2.99,10.15,5.00,4.63
3.37,3.24,9.47,6.26,3.55
2.74,3.35,10.46,5.17,3.31
3.36,2.63,12.11,4.87,3.03
2.98,2.90,11.53,5.69,2.21
2.74,3.53,12.37,5.08,2.73
3.04,3.20,10.82,10.13,2.72
3.27,3.21,11.94,5.22,2.82
3.81,2.72,13.37,5.49,2.73
2.72,2.95,14.46,8.51,2.50
3.12,5.31,13.29,9.40,3.41
2.86,3.37,12.84,6.52,2.29
