P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
23.83,4.04,46.69,34.37,32.27
20.48,8.98,105.25,27.55,35.54
2.31,4.84,51.64,49.58,28.32
2.50,4.57,48.82,28.79,32.97
2.45,3.50,37.93,35.99,31.34
5.33,6.85,67.14,31.96,45.14
2.46,10.68,37.44,33.04,33.49
21.56,6.44,21.57,32.59,112.47
5.96,4.70,19.84,36.89,102.47
40.35,9.36,26.30,42.79,42.66
3.08,10.79,36.18,32.09,23.74
4.42,7.41,56.11,38.22,146.74
2.58,2.64,35.73,35.79,109.68
7.92,3.80,49.83,28.30,38.43
3.57,2.90,27.57,55.24,82.28
2.51,4.74,50.45,60.72,33.47
5.45,4.96,48.62,97.25,23.99
4.45,8.73,43.27,35.78,33.95
9.54,3.08,81.02,30.39,23.88
3.47,6.51,26.75,27.04,39.44
24.88,12.69,39.73,49.47,22.10
3.57,2.41,34.46,45.29,91.46
4.68,13.02,118.10,29.40,24.62
4.85,3.32,45.38,42.94,37.16
2.66,2.49,32.00,27.67,20.79
2.91,5.77,31.15,27.35,58.20
5.79,2.80,26.73,77.59,25.14
9.34,2.59,26.49,43.76,19.81
3.48,2.29,22.68,26.50,24.47
3.15,2.48,24.26,32.15,50.31
4.31,4.54,27.68,35.30,19.16
3.50,4.94,41.39,26.89,68.79
2.64,2.38,57.32,34.71,64.94
2.67,3.50,48.74,29.81,24.05
7.97,10.01,32.07,129.87,39.10
2.84,3.67,49.05,30.62,55.30
8.18,2.50,86.63,68.52,29.14
6.23,2.39,48.72,47.95,142.28
6.06,3.46,65.32,72.72,94.77
2.81,5.55,67.06,29.14,134.39
9.40,3.12,42.03,35.62,175.37
4.90,2.12,53.38,34.79,33.46
12.13,2.33,156.18,46.60,25.95
18.51,4.99,19.27,37.23,19.94
3.76,9.21,57.25,30.50,35.29
5.79,4.37,55.36,38.33,20.97
7.62,7.39,29.22,33.24,31.64
10.87,5.97,30.72,30.62,27.23
9.51,4.07,29.16,37.39,29.24
2.55,11.25,30.96,35.66,57.82
